DateTime,Entries,UniqueIPs
1478318403,3239,3239
1478332802,3300,3300
1478347201,3380,3380
1478361602,3472,3472
1478376002,3523,3523
1478390402,3571,3571
1478404802,3649,3649
1478419202,3662,3662
1478433602,3759,3759
1478448003,3837,3837
1478462403,4085,4085
1478476802,4100,4100
1478491203,4136,4136
1478505604,4140,4140
1478520002,4145,4145
1478534402,4178,4178
1478548802,4244,4244
1478563202,4244,4244
1478577603,4130,4130
1478592003,4044,4044
1478606403,3978,3978
1478620803,3929,3929
1478635203,3865,3865
1478649602,3848,3848
1478664002,3533,3533
1478692802,2892,2892
1478707202,2837,2837
1478721602,2787,2787
1478736003,2805,2805
1478750403,2850,2850
1478764803,2889,2889
1478779203,2847,2847
1478793603,2811,2811
1478808002,2758,2758
1478822403,2711,2711
1478836802,2954,2954
1478851203,3060,3060
1478865602,3057,3057
1478880002,2993,2993
1478894402,2965,2965
1478908803,2922,2922
1478923202,2918,2918
1478937602,2935,2935
1478952002,2947,2947
1478966402,2969,2969
1478980802,3038,3038
1478995202,3124,3124
1479009602,3200,3200
1479024002,3233,3233
1479038403,3259,3259
1479052802,3325,3325
1479067203,3356,3356
1479081603,3348,3348
1479096002,3376,3376
1479110403,3424,3424
1479124802,3431,3431
1479139203,3398,3398
1479153602,3355,3355
1479168003,3371,3371
1479182403,3414,3414
1479211203,3054,3054
1479225603,3103,3103
1479240002,3108,3108
1479254403,3104,3104
1479268802,3129,3129
1479283202,3142,3142
1479297602,3140,3140
1479312003,3156,3156
1479326403,3155,3155
1479340802,3130,3130
1479355203,3428,3428
1479369602,3461,3461
1479384003,3435,3435
1479398402,3364,3364
1479412803,3333,3333
1479427202,3283,3283
1479441602,3284,3284
1479456003,3252,3252
1479470402,3211,3211
1479484803,3196,3196
1479499203,3151,3151
1479513602,3128,3128
1479528002,3133,3133
1479542403,3117,3117
1479556804,3110,3110
1479571202,3094,3094
1479585602,3087,3087
1479600002,3072,3072
1479614403,3082,3082
1479628803,3042,3042
1479643203,3024,3024
1479657602,3011,3011
1479672002,2976,2976
1479686402,2969,2969
1479700802,2992,2992
1479715203,3044,3044
1479729602,2995,2995
1479744003,2944,2944
1479758403,2923,2923
1479772803,2877,2877
1479787202,2842,2842
1479801602,2812,2812
1479816003,2765,2765
1479830402,2742,2742
1479844802,2696,2696
1479859202,2657,2657
1479873602,2651,2651
1479888002,2665,2665
1479902402,2633,2633
1479916801,2655,2655
1479931202,2654,2654
1479945602,2681,2681
1479960003,2663,2663
1479974402,2662,2662
1479988802,2599,2599
1480003202,2580,2580
1480017607,2570,2570
1480032002,2568,2568
1480046402,2555,2555
1480060802,2537,2537
1480075202,2483,2483
1480089603,2453,2453
1480104002,2409,2409
1480118403,2378,2378
1480132803,2380,2380
1480147202,2387,2387
1480161602,2396,2396
1480176002,2429,2429
1480190402,2517,2517
1480204802,2574,2574
1480219203,2648,2648
1480233602,2714,2714
1480248003,2800,2800
1480262402,2891,2891
1480276802,2967,2967
1480291202,2995,2995
1480305602,3053,3053
1480320002,3099,3099
1480334403,3095,3095
1480348802,3068,3068
1480363203,3048,3048
1480377602,3024,3024
1480392002,3010,3010
1480406402,3001,3001
1480420802,3008,3008
1480435203,3004,3004
1480449603,2994,2994
1480464003,3005,3005
1480478402,2984,2984
1480492803,2949,2949
1480507202,2953,2953
1480521602,2954,2954
1480532402,2938,2938
1480546802,2961,2961
1480561202,2946,2946
1480575602,2932,2932
1480590002,2926,2926
1480604402,2886,2886
1480618802,2845,2845
1480633202,2838,2838
1480647602,2852,2852
1480662003,2865,2865
1480676402,2871,2871
1480690802,2862,2862
1480705203,2889,2889
1480719602,2857,2857
1480734003,2824,2824
1480748402,2836,2836
1480762802,2840,2840
1480777202,2857,2857
1480791602,2832,2832
1480806002,2795,2795
1480820402,2790,2790
1480834802,2753,2753
1480849202,2730,2730
1480863602,2692,2692
1480878002,2695,2695
1480892402,2684,2684
1480906802,2678,2678
1480921202,2675,2675
1480935602,2674,2674
1480950002,2676,2676
1480964402,2677,2677
1480978802,2680,2680
1480993202,2685,2685
1481007603,2670,2670
1481022002,2659,2659
1481036403,2652,2652
1481050802,2644,2644
1481065202,2644,2644
1481079602,2631,2631
1481094002,2651,2651
1481108402,2623,2623
1481122802,2654,2654
1481137202,2644,2644
1481151602,2636,2636
1481166002,2659,2659
1481180402,2692,2692
1481194802,2710,2710
1481209202,2720,2720
1481223603,2723,2723
1481238002,2731,2731
1481252402,2755,2755
1481266802,2763,2763
1481281202,2754,2754
1481295601,2784,2784
1481310002,2792,2792
1481324403,2793,2793
1481338802,2782,2782
1481353203,2802,2802
1481367602,2804,2804
1481382002,2807,2807
1481396402,2809,2809
1481410802,2811,2811
1481425202,2840,2840
1481439602,2902,2902
1481454002,2933,2933
1481468402,2952,2952
1481482801,2981,2981
1481497202,2984,2984
1481511602,3022,3022
1481526003,3046,3046
1481540402,3072,3072
1481554801,3062,3062
1481569202,3022,3022
1481583602,2991,2991
1481598002,2977,2977
1481612402,2950,2950
1481626802,2927,2927
1481641202,2961,2961
1481655602,2957,2957
1481670002,2939,2939
1481684402,2939,2939
1481698802,2939,2939
1481713202,2971,2971
1481727602,3024,3024
1481742002,3015,3015
1481756402,3061,3061
1481770802,3117,3117
1481785202,3125,3125
1481799601,3098,3098
1481814002,3097,3097
1481828404,3104,3104
1481842802,3122,3122
1481857202,3128,3128
1481871602,3112,3112
1481886002,3094,3094
1481900402,3100,3100
1481914803,3098,3098
1481929202,3082,3082
1481943602,3115,3115
1481958003,3134,3134
1481972402,3159,3159
1481986802,3173,3173
1482001202,3161,3161
1482015602,3149,3149
1482030002,3162,3162
1482044402,3181,3181
1482058802,3172,3172
1482073201,3182,3182
1482087602,3159,3159
1482102002,3158,3158
1482116403,3141,3141
1482130802,3114,3114
1482145202,3118,3118
1482159602,3119,3119
1482174002,3100,3100
